--------task_3_2/input02_solution.txt--------
Equations without roots
    equation: [-84.0, 0.0, 39.0, 0.0, -6.0];  roots: []
    equation: [-46.0, -12.0, -39.0];  roots: []
    equation: [18.0, 0.0, 33.0, 0.0, 68.0];  roots: []
    equation: [-40.0, 0.0, -6.0, 0.0, -34.0];  roots: []
    equation: [0.0, 5.0];  roots: []
    equation: [-36.0, 0.0, -57.0];  roots: []
    equation: [0.0, 18.0];  roots: []
    equation: [72.0, -25.0, 12.0];  roots: []
    equation: [0.0, 0.0, 22.0, 0.0, 15.0];  roots: []
    equation: [-24.0, 0.0, 22.0, 0.0, -12.0];  roots: []
    equation: [28.0, 0.0, -56.0, 0.0, 30.0];  roots: []
    equation: [0.0, -18.0];  roots: []
    equation: [0.0, -21.0];  roots: []
    equation: [0.0, -52.0];  roots: []
    equation: [-40.0, 0.0, 0.0, 0.0, -54.0];  roots: []
    equation: [-40.0, 0.0, 0.0, 0.0, -52.0];  roots: []
    equation: [18.0, 0.0, 24.0, 0.0, 12.0];  roots: []
    equation: [0.0, 18.0];  roots: []
    equation: [48.0, 0.0, 8.0, 0.0, 34.0];  roots: []
    equation: [0.0, -4.0];  roots: []
    equation: [22.0, 0.0, -88.0, 0.0, 96.0];  roots: []
    equation: [76.0, 0.0, -9.0, 0.0, 28.0];  roots: []
    equation: [-2.0, 0.0, 0.0, 0.0, -19.0];  roots: []
    equation: [96.0, 0.0, -12.0, 0.0, 25.0];  roots: []
    equation: [36.0, 0.0, -12.0, 0.0, 80.0];  roots: []
    equation: [-6.0, 0.0, -60.0, 0.0, -4.0];  roots: []
    equation: [72.0, 0.0, 39.0, 0.0, 4.0];  roots: []
    equation: [0.0, 0.0, 17.0];  roots: []
    equation: [18.0, -6.0, 8.0];  roots: []
    equation: [0.0, 0.0, 6.0, 0.0, 10.0];  roots: []
    equation: [0.0, 50.0];  roots: []
    equation: [0.0, 0.0, 0.0, 0.0, 51.0];  roots: []
    equation: [-64.0, 0.0, 0.0, 0.0, -69.0];  roots: []
    equation: [0.0, 0.0, -23.0];  roots: []
    equation: [0.0, 100.0];  roots: []
    equation: [0.0, -60.0];  roots: []
    equation: [0.0, 0.0, -24.0];  roots: []
    equation: [0.0, 0.0, 0.0, 0.0, 5.0];  roots: []
    equation: [0.0, 10.0];  roots: []
    equation: [57.0, 0.0, -1.0, 0.0, 21.0];  roots: []
    equation: [-32.0, 0.0, -84.0, 0.0, -28.0];  roots: []
    equation: [12.0, 0.0, 9.0];  roots: []
    equation: [0.0, -38.0];  roots: []
    equation: [84.0, 4.0, 32.0];  roots: []
    equation: [16.0, 0.0, 76.0, 0.0, 100.0];  roots: []
    equation: [0.0, 0.0, 0.0, 0.0, 24.0];  roots: []
    equation: [-51.0, 0.0, 20.0, 0.0, -3.0];  roots: []
    equation: [7.0, -16.0, 72.0];  roots: []
    equation: [-75.0, 30.0, -13.0];  roots: []
    equation: [0.0, 0.0, -28.0, 0.0, -20.0];  roots: []
    equation: [-40.0, 21.0, -42.0];  roots: []
    equation: [5.0, 0.0, 56.0, 0.0, 39.0];  roots: []
    equation: [0.0, -51.0];  roots: []
